output_label,backend_mode,popo_source,mineru_elapsed_seconds,label_elapsed_seconds,inference_elapsed_seconds,build_tree_elapsed_seconds,total_mode_elapsed_seconds,mineru_return_code,label_return_code,inference_return_code,build_tree_return_code,raw_output_size_bytes,raw_output_size_human,raw_markdown_heading_total,raw_markdown_heading_levels,model_blocks,model_titles,middle_blocks,middle_titles,content_list_blocks,content_list_titles,label_blocks,label_type_counter,label_title_level_counter,inference_elements,inference_type_counter,inference_title_level_counter,tree_nodes,tree_max_depth,tree_type_counter,mineru_inner_dir,adapted_popo_vlm_dir,popo_label_json,popo_infer_json,popo_tree_json,popo_tree_txt
hybrid,hybrid,middle,255.293,0.57,460.972,0.549,717.384,0,0,0,0,72490849,69.13MB,417,"{""1"": 10, ""2"": 407}",277,0,1862,417,2422,417,1862,"{""image"": 78, ""table"": 195, ""text"": 1172, ""title"": 417}","{""no_level"": 417}",1862,"{""image"": 78, ""table"": 195, ""text"": 1172, ""title"": 417}","{""-1"": 7, ""1"": 17, ""2"": 28, ""3"": 48, ""4"": 69, ""5"": 46, ""6"": 90, ""7"": 86, ""8"": 22, ""9"": 4}",684,9,"{""image"": 78, ""root"": 1, ""table"": 195, ""text"": 410}",/autodl-fs/data/mineru_popo_sixway_text01/20260620_170708/mineru_raw/hybrid/text01/hybrid_auto,/autodl-fs/data/mineru_popo_sixway_text01/20260620_170708/popo_work/hybrid/post-process/mineru_hybrid/text01/vlm,/autodl-fs/data/mineru_popo_sixway_text01/20260620_170708/popo_work/hybrid/outputs/label_normalization/mineru/text01.json,/autodl-fs/data/mineru_popo_sixway_text01/20260620_170708/popo_work/hybrid/outputs/inference/mineru_hybrid/text01.json,/autodl-fs/data/mineru_popo_sixway_text01/20260620_170708/popo_work/hybrid/outputs/build_tree/mineru_hybrid/text01.json,/autodl-fs/data/mineru_popo_sixway_text01/20260620_170708/popo_work/hybrid/outputs/build_tree_txt/mineru_hybrid/text01.txt
pipeline,pipeline,middle,515.772,0.517,498.755,0.602,1015.646,0,0,0,0,88136692,84.05MB,381,"{""1"": 11, ""2"": 370}",0,0,2119,381,2672,381,2119,"{""image"": 67, ""list_item"": 1, ""table"": 196, ""text"": 1474, ""title"": 381}","{""no_level"": 381}",2119,"{""image"": 67, ""list_item"": 1, ""table"": 196, ""text"": 1474, ""title"": 381}","{""-1"": 16, ""1"": 11, ""2"": 25, ""3"": 41, ""4"": 91, ""5"": 78, ""6"": 99, ""7"": 15, ""8"": 5}",630,8,"{""image"": 67, ""root"": 1, ""table"": 196, ""text"": 366}",/autodl-fs/data/mineru_popo_sixway_text01/20260620_170708/mineru_raw/pipeline/text01/auto,/autodl-fs/data/mineru_popo_sixway_text01/20260620_170708/popo_work/pipeline/post-process/mineru_pipeline/text01/vlm,/autodl-fs/data/mineru_popo_sixway_text01/20260620_170708/popo_work/pipeline/outputs/label_normalization/mineru/text01.json,/autodl-fs/data/mineru_popo_sixway_text01/20260620_170708/popo_work/pipeline/outputs/inference/mineru_pipeline/text01.json,/autodl-fs/data/mineru_popo_sixway_text01/20260620_170708/popo_work/pipeline/outputs/build_tree/mineru_pipeline/text01.json,/autodl-fs/data/mineru_popo_sixway_text01/20260620_170708/popo_work/pipeline/outputs/build_tree_txt/mineru_pipeline/text01.txt
vlm,vlm,model,246.183,0.39,691.069,1.467,939.109,0,0,0,0,67106983,64.00MB,421,"{""1"": 421}",3051,421,1932,421,2517,421,3051,"{""aside_text"": 4, ""footer"": 7, ""header"": 299, ""image"": 79, ""image_caption"": 1, ""page_number"": 275, ""table"": 195, ""table_caption"": 141, ""table_footnote"": 11, ""text"": 1618, ""title"": 421}","{""no_level"": 421}",3051,"{""aside_text"": 4, ""footer"": 7, ""header"": 299, ""image"": 79, ""image_caption"": 1, ""page_number"": 275, ""table"": 195, ""table_caption"": 141, ""table_footnote"": 11, ""text"": 1618, ""title"": 421}","{""-1"": 8, ""1"": 11, ""2"": 36, ""3"": 47, ""4"": 71, ""5"": 41, ""6"": 84, ""7"": 87, ""8"": 31, ""9"": 5}",1205,9,"{""aside_text"": 4, ""footer"": 7, ""header"": 299, ""image"": 79, ""page_number"": 275, ""root"": 1, ""table"": 127, ""text"": 413}",/autodl-fs/data/mineru_popo_sixway_text01/20260620_170708/mineru_raw/vlm/text01/vlm,/autodl-fs/data/mineru_popo_sixway_text01/20260620_170708/popo_work/vlm/post-process/mineru_vlm/text01/vlm,/autodl-fs/data/mineru_popo_sixway_text01/20260620_170708/popo_work/vlm/outputs/label_normalization/mineru/text01.json,/autodl-fs/data/mineru_popo_sixway_text01/20260620_170708/popo_work/vlm/outputs/inference/mineru_vlm/text01.json,/autodl-fs/data/mineru_popo_sixway_text01/20260620_170708/popo_work/vlm/outputs/build_tree/mineru_vlm/text01.json,/autodl-fs/data/mineru_popo_sixway_text01/20260620_170708/popo_work/vlm/outputs/build_tree_txt/mineru_vlm/text01.txt
